tokens_per_second,tokens_generated,peak_vram_mb,rouge1,rouge2,rougeL,f1,exact_match,sample_id,dataset,baseline,model,max_new_tokens,prompt_chunk_size,top_k,temperature,ctx_cap
43.636407629803806,256,2327.19384765625,0.05501618122977347,0.0,0.048543689320388356,0.051094890510948905,0.0,govreport_0,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
7.670877538168041,5,2341.35693359375,0.010273972602739727,0.0,0.010273972602739727,0.007272727272727273,0.0,govreport_1,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
44.24952378289908,86,2341.34521484375,0.13210445468509985,0.0061633281972265025,0.09831029185867897,0.11904761904761903,0.0,govreport_2,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
1.3761185375404166,1,2341.38330078125,0.0,0.0,0,0.0,0.0,govreport_3,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
2.8927590939078245,3,2341.42431640625,0.0,0.0,0.0,0.0,0.0,govreport_4,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
3.2893209796563405,3,2341.40673828125,0.0,0.0,0.0,0.0,0.0,govreport_5,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
40.232465625488935,256,2341.46240234375,0.018083182640144666,0.0,0.018083182640144666,0.004301075268817205,0.0,govreport_6,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
27.031483190533642,56,2341.42041015625,0.0397196261682243,0.004683840749414519,0.035046728971962614,0.019257221458046765,0.0,govreport_7,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
10.31155551308259,11,2341.40869140625,0.0036496350364963502,0.0,0.0036496350364963502,0.0,0.0,govreport_8,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
14.644451114923381,16,2341.39794921875,0.0,0.0,0.0,0.0,0.0,govreport_9,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
51.39406771032486,256,2341.32373046875,0.06153846153846154,0.0,0.05538461538461538,0.06633499170812604,0.0,govreport_10,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
4.822507834279004,4,2341.39013671875,0.0,0.0,0.0,0.0,0.0,govreport_11,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
13.619523058964441,30,2341.51708984375,0.00814111261872456,0.0,0.00814111261872456,0.006230529595015577,0.0,govreport_12,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
6.801254469612847,5,2341.37060546875,0.005698005698005697,0.0,0.005698005698005697,0.006153846153846154,0.0,govreport_13,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
10.3648094645684,12,2341.41357421875,0.0,0.0,0.0,0.0,0.0,govreport_14,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
27.42709771574563,144,2341.61572265625,0.0071174377224199285,0.0,0.0071174377224199285,0.0,0.0,govreport_15,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
24.761980507568286,40,2341.39111328125,0.002793296089385475,0.0,0.002793296089385475,0.003091190108191654,0.0,govreport_16,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
32.67557255590887,256,2341.73681640625,0.017316017316017316,0.0,0.014430014430014428,0.00967741935483871,0.0,govreport_17,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
44.93652875223143,256,2341.46630859375,0.07943262411347518,0.002844950213371266,0.06524822695035461,0.022257551669316374,0.0,govreport_18,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
19.983443995213594,33,2341.42236328125,0.012096774193548387,0.0,0.00806451612903226,0.00892857142857143,0.0,govreport_19,govreport,base_topk,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,512,50,0.7,0
